
id,voltage_kv,from_lat,from_lon,to_lat,to_lon
LINE_0001,1150,52.240961,75.327556,52.827978,75.454006
LINE_0002,1150,52.827978,75.454006,53.236643,78.790890
LINE_0003,1150,53.224561,69.506129,52.938742,73.059551
LINE_0004,1150,52.938742,73.059551,52.205795,75.161505
LINE_0005,1150,53.007528,64.161848,53.250816,64.904940
LINE_0006,1150,53.250816,64.904940,53.368314,66.620936
LINE_0007,1150,53.368314,66.620936,53.245396,69.123868
LINE_0008,1150,54.989451,60.671196,54.919639,61.505166
LINE_0009,1150,54.919639,61.505166,53.043107,63.888566
LINE_0010,220,43.456259,76.973655,43.509453,76.800488
LINE_0011,220,43.509453,76.800488,43.481811,76.791223
LINE_0012,220,43.481811,76.791223,43.438131,76.932021
LINE_0013,220,43.504204,76.668175,43.118474,77.499763
LINE_0014,220,43.648123,76.834158,43.674751,76.784059
LINE_0015,220,43.674751,76.784059,43.513803,76.670373
LINE_0016,220,43.513803,76.670373,43.624285,76.786778
LINE_0017,220,43.624285,76.786778,43.633074,76.793144
LINE_0018,220,43.633074,76.793144,43.613751,76.827570
LINE_0019,220,43.556174,78.137548,43.532710,77.235700
LINE_0020,220,43.532710,77.235700,43.449634,76.953201
LINE_0021,220,43.449634,76.953201,43.331453,76.764428
LINE_0022,220,43.331453,76.764428,43.051161,76.596104
LINE_0023,220,43.856319,76.963541,43.864425,76.856710
LINE_0024,220,43.878325,76.942495,43.884098,76.853819
LINE_0025,220,44.002880,76.993155,43.994087,76.834595
LINE_0026,220,43.994087,76.834595,43.861481,76.814761
LINE_0027,220,43.861481,76.814761,43.764286,76.863204
LINE_0028,220,43.764286,76.863204,43.768166,76.897773
LINE_0029,220,43.768166,76.897773,43.864425,76.856710
LINE_0030,220,43.864425,76.856710,43.970728,76.866661
LINE_0031,220,43.970728,76.866661,43.975401,77.003063
LINE_0032,220,44.322284,77.624233,44.294895,77.826934
LINE_0033,220,44.294895,77.826934,44.271095,77.820826
