region_name,region_name_en,name_en,name,available_land_km2,pvout_kwh_kwp_day,pvout_kwh_kwp_yr,wpd_w_m2_10pct,ws_m_s_10pct,wind_cf_est,freshwater_mln_m3,brackish_water_mln_m3,groundwater_mln_m3,wastewater_mln_m3,solar_max_mw,wind_max_mw,hydro_potential_mw
Батыс Қазақстан облысы,West Kazakhstan Region,West Kazakhstan Region,West Kazakhstan Region,30980,3.53,1288.45,487,8.06,0.37122,10.5,0,2.5,2.6,929400,92940,0
Атырау облысы,Atyrau Region,Atyrau Region,Atyrau Region,73930,3.75,1368.75,588,8.47,0.40689,62.9,7,81.3,50.8,2217900,221790,0
Маңғыстау облысы,Mangystau Region,Mangystau Region,Mangystau Region,117140,3.9,1423.5,760,8.92,0.44604,5.1,50,93.3,0.06,3514200,351420,0
Ақтөбе облысы,Aktobe Region,Aktobe Region,Aktobe Region,107310,3.7,1350.5,558,8.27,0.38949,43.1,0,111,8.9,3219300,321930,0
Қостанай облысы,Kostanay Region,Kostanay Region,Kostanay Region,55820,3.5,1277.5,516,8.04,0.36948,7.1,0,30.1,18.2,1674600,167460,0
Ұлытау облысы,Ulytau Region,Ulytau Region,Ulytau Region,64100,3.95,1441.75,620,8.52,0.41124,207,10,29.4,30,1923000,192300,0
Қарағанды облысы,Karaganda Region,Karaganda Region,Karaganda Region,60950,3.9,1423.5,521,8.06,0.37122,200,0,88,95.6,1828500,182850,0
Шығыс Қазақстан облысы,East Kazakhstan Region,East Kazakhstan Region,East Kazakhstan Region,22640,3.7,1350.5,904,8.31,0.39297,50,0,100.3,102.4,679200,67920,500
Абай облысы,Abay Region,Abay Region,Abay Region,61520,3.8,1387,751,8.36,0.39732,50,0,170.7,40,1845600,184560,300
Жетісу облысы,Jetisu Region,Jetisu Region,Jetisu Region,44960,4,1460,752,7.87,0.35469,800,0,200,60,1348800,134880,200
Алматы облысы,Almaty Region,Almaty Region,Almaty Region,23530,4,1460,541,7.92,0.35904,134,0,49.5,150,705900,70590,400
Ақмола облысы,Akmola Region,Akmola Region,Akmola Region,9940,3.4,1241,567,8.18,0.38166,84.5,0,28.3,112,298200,29820,0
Солтүстік Қазақстан облысы,North Kazakhstan Region,North Kazakhstan Region,North Kazakhstan Region,6020,3.25,1186.25,534,8.16,0.37992,50,0,12.7,0.3,180600,18060,0
Павлодар облысы,Pavlodar Region,Pavlodar Region,Pavlodar Region,25650,3.4,1241,526,7.89,0.35643,275.2,0,3.5,27.3,769500,76950,0
Жамбыл облысы,Jambyl Region,Jambyl Region,Jambyl Region,14480,4,1460,697,8.6,0.4182,23.8,0,3.7,50,434400,43440,0
Түркістан облысы,Turkistan Region,Turkistan Region,Turkistan Region,25720,4,1460,779,8.43,0.40341,10.4,0,23.3,54,771600,77160,300
Қызылорда облысы,Kyzylorda Region,Kyzylorda Region,Kyzylorda Region,106420,4,1460,753,9.11,0.46257,50,0,30.1,50,3192600,319260,200
Алматы,Almaty,Almaty,Almaty,50,3.9,1423.5,85,3.59,0.15,5,5,5,118,1500,150,0
Шымкент,Shymkent,Shymkent,Shymkent,80,4.2,1533,206,4.85,0.15,5,5,5,54.7,2400,240,0
Астана,Astana,Astana,Astana,60,3.4,1241,455,7.78,0.34686,5,5,5,92.4,1800,180,0
